fna,gna,nam,tip,dir,bar,com,tel,ema,web,fab,twr,sag,geometry
Biblioteca Pública Joaquin V. Gonzalez (Con Anexo Infantil),Biblioteca,Joaquin V. Gonzalez (Con Anexo Infantil),Biblioteca Publica,Suarez 408,Boca,4,4302-2481,biblioteca_gonzalez@buenosaires.gov.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (29560.23575829601 69312.35867851287)
Biblioteca Pública Jose Hernandez,Biblioteca,Jose Hernandez,Biblioteca Publica,Boqueron 6753,Liniers,9,4641-3673,biblioteca_hernandez@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (14714.329074468049 68101.72729995212)
Biblioteca Pública Jose Marmol,Biblioteca,Jose Marmol,Biblioteca Publica,Juramento 2937,Belgrano,13,4781-7871,biblioteca_marmol@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20148.792422434388 77135.33509447223)
Biblioteca Pública Julio Saguier,Biblioteca,Julio Saguier,Biblioteca Publica,"Dellepiane, Luis, Tte. Gral. 4801",Villa Lugano,8,4635-4009,bibliotecasdelaciudad@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (18974.16442684824 65926.60840250448)
Biblioteca Pública Leopoldo Lugones,Biblioteca,Leopoldo Lugones,Biblioteca Publica,La Pampa 2215,Belgrano,13,4783-1567,lugones.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20983.162762301326 77258.03461256604)
Biblioteca Pública Mafalda,Biblioteca,Mafalda,Biblioteca Publica,Flor De Otoño 676,Retiro,1,,,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (27589.159389803222 74940.60024682694)
Biblioteca Pública Manuel Galvez,Biblioteca,Manuel Galvez,Biblioteca Publica,Cordoba Av. 1558,San Nicolas,1,4812-4723,galvez.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,http://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26803.688766765277 73300.6727577893)
Biblioteca Pública Mariano Pelliza,Biblioteca,Mariano Pelliza,Biblioteca Publica,Cranwell 819,Flores,7,4631-0961,biblioteca_pelliza@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20629.00106371761 69051.95512726532)
Biblioteca Pública Martin del Barco Centenera,Biblioteca,Martin del Barco Centenera,Biblioteca Publica,Republica Bolivariana De Venezuela 1538,Monserrat,1,4381-1271,centenera.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/bibliotecasba/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26893.902837751866 71611.37309838143)
Biblioteca Pública Miguel Cane (Con Anexo Infantil),Biblioteca,Miguel Cane (Con Anexo Infantil),Biblioteca Publica,"Calvo, Carlos Av. 4319",Boedo,5,4922-0020,cane.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23389.392095861363 70471.39920043417)
Biblioteca Pública Norah Lange,Biblioteca,Norah Lange,Biblioteca Publica,"Fernandez De La Cruz, F., Gral. Av. y Escalada Av.",Mataderos,9,011 4687-1977,bibliotecasdelaciudad@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (16923.842046454036 65738.6315827878)
Biblioteca Popular Obrera Juan B. Justo,Biblioteca,Obrera Juan B. Justo,Biblioteca Popular,La Plata Av. 85,Caballito,6,4901-7913 / 4902-2691,bibliotecaobrerajuanbjusto@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23135.709308819994 71447.51653184128)
Biblioteca Pública Parque de la Estación,Biblioteca,Parque de la Estación,Biblioteca Publica,"Peron, Juan Domingo, Tte. General 3348",Balvanera,3,5030-9753,bibliotecaparquedelaestacion@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (24590.05158130134 72412.24686781035)
Biblioteca Popular 12 de Octubre,Biblioteca,12 de Octubre,Biblioteca Popular,Arengreen 1187,Caballito,6,4988-0766,popular12deoctubre@hotmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (21318.146587256906 71785.36158513755)
Biblioteca Popular 25 de Mayo,Biblioteca,25 de Mayo,Biblioteca Popular,"Balbin, Ricardo, Dr. Av. 4221",Saavedra,12,4542-0818,biblioteca25demayo@hotmail.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (17384.305995464223 78231.86181290635)
Biblioteca Popular Alberdi,Biblioteca,Alberdi,Biblioteca Popular,Acevedo 666,Villa Crespo,15,4775-3325,bibliotecapopularalberdi@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (22354.977934603347 73679.58127287893)
Biblioteca Popular Casa de la Cultura de Liniers,Biblioteca,Casa de la Cultura de Liniers,Biblioteca Popular,Pieres 226,Liniers,9,4635-4918,bianmen@ciudad.com.ar,casadelaculturadeliniers@hotmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (15246.614915735554 68530.48249023195)
Biblioteca Popular Ciencia y Labor,Biblioteca,Ciencia y Labor,Biblioteca Popular,"Diaz, Cesar, Gral. 2453",Villa Gral. Mitre,11,4582-9779   /  4588-3291,bpcienciaylabor@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (19076.1564173728 71983.24889161748)
Biblioteca Popular Cornelio Saavedra,Biblioteca,Cornelio Saavedra,Biblioteca Popular,Garcia Del Rio Av. 2735,Saavedra,12,4701-5180,socios@bibliotecacsaavedra.org.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (19148.9551211951 78900.74515998428)
Biblioteca Popular Creando Horizontes Educativos,Biblioteca,Creando Horizontes Educativos,Biblioteca Popular,Albarellos Av. 2825,Villa Pueyrredon,12,4571-1394,bibliopopuche@hotmail.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (15617.012107036244 75661.31188820365)
Biblioteca Popular Dr. Angel A. Gimenez,Biblioteca,Dr. Angel A. Gimenez,Biblioteca Popular,Suarez 1301,Barracas,4,4301-2586   / 4301-4004,bibgimenez@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (28485.71507753384 69015.47112961396)
Biblioteca Popular Dr. Tristan J. Gonzalez,Biblioteca,Dr. Tristan J. Gonzalez,Biblioteca Popular,"Goyena, Pedro Av. 1579",Caballito,6,4432-3118,trjgonzalez@outlook.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (21219.592847312368 70141.51358759872)
Biblioteca Popular el Progreso,Biblioteca,el Progreso,Biblioteca Popular,Riestra Av. 5655,Villa Lugano,8,4602-7470,bibliotecaelprogreso@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (18932.44043916846 64725.93468573744)
Biblioteca Popular Eurindia,Biblioteca,Eurindia,Biblioteca Popular,Bragado 5950,Mataderos,9,4635-8668,biblioeurindia@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (16385.371515942097 67317.48530893112)
Biblioteca Popular Federico Lacroze,Biblioteca,Federico Lacroze,Biblioteca Popular,Thompson 502,Caballito,6,4431-1073,bpflacroze@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (22211.3549842841 70476.05350370183)
Biblioteca Popular Gral. Alvear,Biblioteca,Gral. Alvear,Biblioteca Popular,Avellaneda 542,Caballito,6,4901-0242,asociacionalvear@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (22254.61931909502 71642.4813774692)
Biblioteca Popular Gral. Benito Nazar,Biblioteca,Gral. Benito Nazar,Biblioteca Popular,Antezana 340,Villa Crespo,15,4854-8737,bibliotecanazar@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (21687.332687134007 72677.1988066588)
Biblioteca Popular Helena Larroque de Roffo,Biblioteca,Helena Larroque de Roffo,Biblioteca Popular,Simbron 3058,Villa Del Parque,11,4501-0078,asociacionroffo@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (17131.238098657854 73420.00590492148)
Biblioteca Popular Hijos del Barrio Piedrabuena,Biblioteca,Hijos del Barrio Piedrabuena,Biblioteca Popular,2 De Abril De 1982 6730,Villa Lugano,8,15-41841836   / 4602-9048,bibliotecapopularhijosdelbarriopiedrabuena@hotmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (17449.648531825307 64584.50851228808)
Biblioteca Popular Jose Enrique Rodo,Biblioteca,Jose Enrique Rodo,Biblioteca Popular,Andalgala 2051,Mataderos,9,4686-5631,bibliotecajerodo@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (15764.21374650538 66577.9802138481)
Biblioteca Popular Juan B. Rebagliati,Biblioteca,Juan B. Rebagliati,Biblioteca Popular,La Facultad 1772,Parque Avellaneda,9,4674-0149,bibliotecarebagliati@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (19118.414638303064 67490.0482276168)
Biblioteca Popular Juan Jose Castelli,Biblioteca,Juan Jose Castelli,Biblioteca Popular,Pasco 555,San Nicolas,1,4308-6256,bpmartedi@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios/,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26805.85024994839 72513.65844035895)
Biblioteca Popular Juan Maria Becciu,Biblioteca,Juan Maria Becciu,Biblioteca Popular,"Granada, Nicolas 1660",Paternal,15,,bibliotecabecciu@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20104.779527896284 72926.5966262636)
Biblioteca Popular Lectores del Pueblo,Biblioteca,Lectores del Pueblo,Biblioteca Popular,San Pedrito 1026,Flores,7,4611-8811,hachaytiza@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20160.58280210263 68560.78458730144)
Biblioteca Popular Mariano Boedo,Biblioteca,Mariano Boedo,Biblioteca Popular,Maza 755,Almagro,5,3967-0658,bibliotecapopularmarianoboedo@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (24410.542712352908 70996.60751269048)
Biblioteca Popular Por Caminos de Libros y Solidaridad,Biblioteca,Por Caminos de Libros y Solidaridad,Biblioteca Popular,Pasaje L y Martinez Castro,Villa Soldati,8,4804-7611,norinasta@fibertel.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (20570.768623456628 67041.82813888042)
Biblioteca Popular Pueyrredon Sud,Biblioteca,Pueyrredon Sud,Biblioteca Popular,Estado Plurinacional De Bolivia 4801,Villa Pueyrredon,12,4572-4450,bibliopueysud@yahoo.com.ar,,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (16666.465650659346 75112.11368601814)
Biblioteca Popular Universidad Popular de Belgrano Alfredo Fazio,Biblioteca,Universidad de Belgrano Alfredo Fazio,Biblioteca Popular,Campos Salles 2145,Nuñez,13,4552-8969,bibazarolagil@hotmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (19997.253291086476 78709.05477776677)
Biblioteca Popular Villa Pueyrredon Norte,Biblioteca,Villa Pueyrredon Norte,Biblioteca Popular,Cochrane 2334,Villa Pueyrredon,12,4572-9107,bibliotecapueyrredon@hotmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (16481.006457285373 75911.49520851258)
Biblioteca Popular William C.Morris,Biblioteca,William C.Morris,Biblioteca Popular,Guemes 4621,Palermo,14,4773-6747,bibliomorris@hotmail.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23617.995870177518 75314.58902193593)
Biblioteca Pública Reina Batata (Infanto Juvenil),Biblioteca,Reina Batata (Infanto Juvenil),Biblioteca Publica,11 De Septiembre De 1888 1801,Belgrano,13,4783-3648,biblioteca_reinabatata@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (21336.862349848627 77517.59758193669)
Biblioteca Pública Ricardo Güiraldes,Biblioteca,Ricardo Güiraldes,Biblioteca Publica,Talcahuano 1261,Retiro,1,4812-1840,guiraldes.dgplbc@gmail.com,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (27096.571694143713 73949.29473582692)
Biblioteca Pública Tesoro Circe,Biblioteca,Tesoro Circe,Biblioteca Publica,Cordoba Av. 1558,San Nicolas,1,,bibliotecasdelaciudad@buenosaires.gob.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/culturabarrios,https://twitter.com/culturabarrios,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (26801.580255597324 73286.97599372825)
Biblioteca Popular Argentina para Ciegos,Biblioteca,Argentina para Ciegos,Biblioteca Popular,Lezica 3909,Almagro,5,4981-0137/7710,bac@bac.org.ar,http://www.bac.org.ar/ y https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (23844.600717575886 72043.94146005304)
Biblioteca Popular y Centro Cultural Carlos Sanchez Viamonte,Biblioteca,Centro Cultural Carlos Sanchez Viamonte,Biblioteca Popular,Austria 2156,Recoleta,2,4801-8211,carlossanchezviamonte@yahoo.com.ar,https://www.buenosaires.gob.ar/cultura/bibliotecas,,,"Dirección General de Promoción del Libro, las Bibliotecas y la Cultura",POINT (25482.30333656886 74620.47223630958)
